date,metric_name,value
2024-01-01,revenue,137118.0
2024-01-01,profit,10067.0
2024-01-01,units_sold,219.0
2024-01-01,customer_satisfaction,4.06
2024-01-01,marketing_spend,14666.0
2024-01-01,discount_percentage,13.4
2024-01-01,order_processing_time,1.0
2024-01-02,revenue,78577.0
2024-01-02,profit,38481.0
2024-01-02,units_sold,750.0
2024-01-02,customer_satisfaction,2.64
2024-01-02,marketing_spend,8254.0
2024-01-02,discount_percentage,3.7
2024-01-02,order_processing_time,3.0
2024-01-03,revenue,19078.0
2024-01-03,profit,28037.0
2024-01-03,units_sold,406.0
2024-01-03,customer_satisfaction,3.62
2024-01-03,marketing_spend,14746.0
2024-01-03,discount_percentage,6.18
2024-01-03,order_processing_time,3.0
2024-01-04,revenue,166075.0
2024-01-04,profit,10557.0
2024-01-04,units_sold,109.0
2024-01-04,customer_satisfaction,2.04
2024-01-04,marketing_spend,4578.0
2024-01-04,discount_percentage,0.03
2024-01-04,order_processing_time,5.0
2024-01-05,revenue,72768.0
2024-01-05,profit,10435.0
2024-01-05,units_sold,40.0
2024-01-05,customer_satisfaction,1.64
2024-01-05,marketing_spend,13353.0
2024-01-05,discount_percentage,1.18
2024-01-05,order_processing_time,3.0
2024-01-06,revenue,61047.0
2024-01-06,profit,38766.0
2024-01-06,units_sold,907.0
2024-01-06,customer_satisfaction,1.64
2024-01-06,marketing_spend,18251.0
2024-01-06,discount_percentage,29.32
2024-01-06,order_processing_time,9.0
2024-01-07,revenue,81626.0
2024-01-07,profit,1162.0
2024-01-07,units_sold,537.0
2024-01-07,customer_satisfaction,1.28
2024-01-07,marketing_spend,4542.0
2024-01-07,discount_percentage,7.27
2024-01-07,order_processing_time,1.0
2024-01-08,revenue,67660.0
2024-01-08,profit,35742.0
2024-01-08,units_sold,658.0
2024-01-08,customer_satisfaction,1.74
2024-01-08,marketing_spend,16784.0
2024-01-08,discount_percentage,19.9
2024-01-08,order_processing_time,4.0
2024-01-09,revenue,190858.0
2024-01-09,profit,20675.0
2024-01-09,units_sold,338.0
2024-01-09,customer_satisfaction,3.66
2024-01-09,marketing_spend,14889.0
2024-01-09,discount_percentage,25.17
2024-01-09,order_processing_time,4.0
2024-01-10,revenue,142997.0
2024-01-10,profit,9461.0
2024-01-10,units_sold,175.0
2024-01-10,customer_satisfaction,4.53
2024-01-10,marketing_spend,3075.0
2024-01-10,discount_percentage,16.52
2024-01-10,order_processing_time,1.0
2024-01-11,revenue,127832.0
2024-01-11,profit,18015.0
2024-01-11,units_sold,468.0
2024-01-11,customer_satisfaction,4.26
2024-01-11,marketing_spend,7254.0
2024-01-11,discount_percentage,4.59
2024-01-11,order_processing_time,2.0
2024-01-12,revenue,140406.0
2024-01-12,profit,33591.0
2024-01-12,units_sold,831.0
2024-01-12,customer_satisfaction,3.74
2024-01-12,marketing_spend,18465.0
2024-01-12,discount_percentage,21.84
2024-01-12,order_processing_time,1.0
2024-01-13,revenue,135150.0
2024-01-13,profit,29047.0
2024-01-13,units_sold,961.0
2024-01-13,customer_satisfaction,1.44
2024-01-13,marketing_spend,2486.0
2024-01-13,discount_percentage,18.01
2024-01-13,order_processing_time,6.0
2024-01-14,revenue,167087.0
2024-01-14,profit,35782.0
2024-01-14,units_sold,991.0
2024-01-14,customer_satisfaction,2.16
2024-01-14,marketing_spend,19124.0
2024-01-14,discount_percentage,21.94
2024-01-14,order_processing_time,3.0
2024-01-15,revenue,43320.0
2024-01-15,profit,10833.0
2024-01-15,units_sold,109.0
2024-01-15,customer_satisfaction,2.24
2024-01-15,marketing_spend,15970.0
2024-01-15,discount_percentage,23.09
2024-01-15,order_processing_time,7.0
2024-01-16,revenue,74881.0
2024-01-16,profit,8896.0
2024-01-16,units_sold,630.0
2024-01-16,customer_satisfaction,2.0
2024-01-16,marketing_spend,6468.0
2024-01-16,discount_percentage,29.26
2024-01-16,order_processing_time,5.0
2024-01-17,revenue,100827.0
2024-01-17,profit,33972.0
2024-01-17,units_sold,864.0
2024-01-17,customer_satisfaction,3.06
2024-01-17,marketing_spend,7993.0
2024-01-17,discount_percentage,17.21
2024-01-17,order_processing_time,9.0
2024-01-18,revenue,112215.0
2024-01-18,profit,42800.0
2024-01-18,units_sold,182.0
2024-01-18,customer_satisfaction,3.14
2024-01-18,marketing_spend,4603.0
2024-01-18,discount_percentage,10.25
2024-01-18,order_processing_time,7.0
2024-01-19,revenue,167361.0
2024-01-19,profit,31508.0
2024-01-19,units_sold,758.0
2024-01-19,customer_satisfaction,2.43
2024-01-19,marketing_spend,2576.0
2024-01-19,discount_percentage,19.45
2024-01-19,order_processing_time,4.0
2024-01-20,revenue,144461.0
2024-01-20,profit,6347.0
2024-01-20,units_sold,171.0
2024-01-20,customer_satisfaction,2.42
2024-01-20,marketing_spend,3494.0
2024-01-20,discount_percentage,2.05
2024-01-20,order_processing_time,5.0
2024-01-21,revenue,166755.0
2024-01-21,profit,31314.0
2024-01-21,units_sold,914.0
2024-01-21,customer_satisfaction,4.31
2024-01-21,marketing_spend,4244.0
2024-01-21,discount_percentage,26.92
2024-01-21,order_processing_time,5.0
2024-01-22,revenue,154701.0
2024-01-22,profit,3643.0
2024-01-22,units_sold,737.0
2024-01-22,customer_satisfaction,4.16
2024-01-22,marketing_spend,14966.0
2024-01-22,discount_percentage,3.58
2024-01-22,order_processing_time,5.0
2024-01-23,revenue,71550.0
2024-01-23,profit,41785.0
2024-01-23,units_sold,785.0
2024-01-23,customer_satisfaction,2.23
2024-01-23,marketing_spend,15023.0
2024-01-23,discount_percentage,9.84
2024-01-23,order_processing_time,9.0
2024-01-24,revenue,34826.0
2024-01-24,profit,19681.0
2024-01-24,units_sold,272.0
2024-01-24,customer_satisfaction,4.66
2024-01-24,marketing_spend,6094.0
2024-01-24,discount_percentage,24.47
2024-01-24,order_processing_time,3.0
2024-01-25,revenue,110734.0
2024-01-25,profit,39328.0
2024-01-25,units_sold,813.0
2024-01-25,customer_satisfaction,4.81
2024-01-25,marketing_spend,8031.0
2024-01-25,discount_percentage,17.92
2024-01-25,order_processing_time,6.0
2024-01-26,revenue,167702.0
2024-01-26,profit,16892.0
2024-01-26,units_sold,283.0
2024-01-26,customer_satisfaction,2.31
2024-01-26,marketing_spend,7871.0
2024-01-26,discount_percentage,11.81
2024-01-26,order_processing_time,8.0
2024-01-27,revenue,187235.0
2024-01-27,profit,48299.0
2024-01-27,units_sold,12.0
2024-01-27,customer_satisfaction,2.42
2024-01-27,marketing_spend,15047.0
2024-01-27,discount_percentage,14.2
2024-01-27,order_processing_time,9.0
2024-01-28,revenue,108511.0
2024-01-28,profit,18073.0
2024-01-28,units_sold,37.0
2024-01-28,customer_satisfaction,3.02
2024-01-28,marketing_spend,18528.0
2024-01-28,discount_percentage,25.64
2024-01-28,order_processing_time,7.0
2024-01-29,revenue,21653.0
2024-01-29,profit,37768.0
2024-01-29,units_sold,335.0
2024-01-29,customer_satisfaction,4.76
2024-01-29,marketing_spend,3644.0
2024-01-29,discount_percentage,10.2
2024-01-29,order_processing_time,3.0
2024-01-30,revenue,169033.0
2024-01-30,profit,31682.0
2024-01-30,units_sold,949.0
2024-01-30,customer_satisfaction,4.51
2024-01-30,marketing_spend,14490.0
2024-01-30,discount_percentage,26.09
2024-01-30,order_processing_time,1.0
2024-01-31,revenue,91941.0
2024-01-31,profit,33262.0
2024-01-31,units_sold,158.0
2024-01-31,customer_satisfaction,1.41
2024-01-31,marketing_spend,14583.0
2024-01-31,discount_percentage,2.64
2024-01-31,order_processing_time,4.0
2024-02-01,revenue,43662.0
2024-02-01,profit,32358.0
2024-02-01,units_sold,549.0
2024-02-01,customer_satisfaction,2.57
2024-02-01,marketing_spend,17126.0
2024-02-01,discount_percentage,23.3
2024-02-01,order_processing_time,6.0
2024-02-02,revenue,108818.0
2024-02-02,profit,15289.0
2024-02-02,units_sold,497.0
2024-02-02,customer_satisfaction,3.21
2024-02-02,marketing_spend,8454.0
2024-02-02,discount_percentage,25.43
2024-02-02,order_processing_time,3.0
2024-02-03,revenue,197518.0
2024-02-03,profit,8927.0
2024-02-03,units_sold,831.0
2024-02-03,customer_satisfaction,3.01
2024-02-03,marketing_spend,7769.0
2024-02-03,discount_percentage,5.45
2024-02-03,order_processing_time,1.0
2024-02-04,revenue,162360.0
2024-02-04,profit,49330.0
2024-02-04,units_sold,447.0
2024-02-04,customer_satisfaction,1.78
2024-02-04,marketing_spend,7630.0
2024-02-04,discount_percentage,12.91
2024-02-04,order_processing_time,6.0
2024-02-05,revenue,105081.0
2024-02-05,profit,2171.0
2024-02-05,units_sold,74.0
2024-02-05,customer_satisfaction,4.44
2024-02-05,marketing_spend,7328.0
2024-02-05,discount_percentage,4.96
2024-02-05,order_processing_time,1.0
2024-02-06,revenue,46877.0
2024-02-06,profit,12918.0
2024-02-06,units_sold,365.0
2024-02-06,customer_satisfaction,3.71
2024-02-06,marketing_spend,9344.0
2024-02-06,discount_percentage,21.2
2024-02-06,order_processing_time,9.0
2024-02-07,revenue,121562.0
2024-02-07,profit,42903.0
2024-02-07,units_sold,542.0
2024-02-07,customer_satisfaction,4.35
2024-02-07,marketing_spend,14720.0
2024-02-07,discount_percentage,16.06
2024-02-07,order_processing_time,1.0
2024-02-08,revenue,156385.0
2024-02-08,profit,40110.0
2024-02-08,units_sold,261.0
2024-02-08,customer_satisfaction,4.44
2024-02-08,marketing_spend,6831.0
2024-02-08,discount_percentage,19.06
2024-02-08,order_processing_time,6.0
2024-02-09,revenue,82715.0
2024-02-09,profit,12929.0
2024-02-09,units_sold,244.0
2024-02-09,customer_satisfaction,3.99
2024-02-09,marketing_spend,13897.0
2024-02-09,discount_percentage,5.89
2024-02-09,order_processing_time,1.0
2024-02-10,revenue,151398.0
2024-02-10,profit,3539.0
2024-02-10,units_sold,236.0
2024-02-10,customer_satisfaction,2.76
2024-02-10,marketing_spend,18383.0
2024-02-10,discount_percentage,6.35
2024-02-10,order_processing_time,7.0
2024-02-11,revenue,120091.0
2024-02-11,profit,37727.0
2024-02-11,units_sold,534.0
2024-02-11,customer_satisfaction,3.44
2024-02-11,marketing_spend,10791.0
2024-02-11,discount_percentage,1.24
2024-02-11,order_processing_time,3.0
2024-02-12,revenue,142632.0
2024-02-12,profit,46951.0
2024-02-12,units_sold,322.0
2024-02-12,customer_satisfaction,1.64
2024-02-12,marketing_spend,19042.0
2024-02-12,discount_percentage,9.66
2024-02-12,order_processing_time,6.0
2024-02-13,revenue,89148.0
2024-02-13,profit,23669.0
2024-02-13,units_sold,58.0
2024-02-13,customer_satisfaction,3.69
2024-02-13,marketing_spend,10664.0
2024-02-13,discount_percentage,16.79
2024-02-13,order_processing_time,7.0
2024-02-14,revenue,93186.0
2024-02-14,profit,6432.0
2024-02-14,units_sold,127.0
2024-02-14,customer_satisfaction,1.72
2024-02-14,marketing_spend,10950.0
2024-02-14,discount_percentage,25.74
2024-02-14,order_processing_time,1.0
2024-02-15,revenue,167817.0
2024-02-15,profit,21644.0
2024-02-15,units_sold,63.0
2024-02-15,customer_satisfaction,3.78
2024-02-15,marketing_spend,2535.0
2024-02-15,discount_percentage,20.01
2024-02-15,order_processing_time,1.0
2024-02-16,revenue,172962.0
2024-02-16,profit,19745.0
2024-02-16,units_sold,659.0
2024-02-16,customer_satisfaction,1.92
2024-02-16,marketing_spend,11963.0
2024-02-16,discount_percentage,13.06
2024-02-16,order_processing_time,5.0
2024-02-17,revenue,161094.0
2024-02-17,profit,29228.0
2024-02-17,units_sold,574.0
2024-02-17,customer_satisfaction,1.47
2024-02-17,marketing_spend,8477.0
2024-02-17,discount_percentage,28.59
2024-02-17,order_processing_time,6.0
2024-02-18,revenue,133629.0
2024-02-18,profit,35521.0
2024-02-18,units_sold,53.0
2024-02-18,customer_satisfaction,1.66
2024-02-18,marketing_spend,17741.0
2024-02-18,discount_percentage,21.58
2024-02-18,order_processing_time,9.0
2024-02-19,revenue,193651.0
2024-02-19,profit,32703.0
2024-02-19,units_sold,824.0
2024-02-19,customer_satisfaction,1.01
2024-02-19,marketing_spend,12682.0
2024-02-19,discount_percentage,27.9
2024-02-19,order_processing_time,1.0
2024-02-20,revenue,80316.0
2024-02-20,profit,27928.0
2024-02-20,units_sold,62.0
2024-02-20,customer_satisfaction,3.87
2024-02-20,marketing_spend,798.0
2024-02-20,discount_percentage,15.83
2024-02-20,order_processing_time,4.0
2024-02-21,revenue,38380.0
2024-02-21,profit,19322.0
2024-02-21,units_sold,595.0
2024-02-21,customer_satisfaction,3.93
2024-02-21,marketing_spend,1423.0
2024-02-21,discount_percentage,7.77
2024-02-21,order_processing_time,8.0
2024-02-22,revenue,120198.0
2024-02-22,profit,23360.0
2024-02-22,units_sold,567.0
2024-02-22,customer_satisfaction,3.06
